_id,name,title,rank,publicationDate,language_detect
5714dec325ac0d8aee3809f5,A Dream Of Poe,Lady Of Shalott,100000.0,2016-05-30,english
5714dec325ac0d8aee3809f6,A Dream Of Poe,Liber XLIX,100000.0,2016-05-30,english
5714dec325ac0d8aee3809f7,A Dream Of Poe,The Lost King Of The Lyre,100000.0,2016-05-30,english
5714dec325ac0d8aee3809f8,A Dream Of Poe,Chrysopoeia,100000.0,2016-05-30,english
5714dec325ac0d8aee3809fa,A Dying Dream,Believe,96889.0,2006-08-21,english
5714dec325ac0d8aee3809fb,A Dying Dream,Hourglass Effect,113491.0,2006-08-21,english
5714dec325ac0d8aee3809fd,A Dying Dream,Sight For Sore Eyes,96889.0,2006-08-21,english
5714dec325ac0d8aee3809ff,A Dying Dream,Few And Far Between,96889.0,2006-08-21,english
5714dec325ac0d8aee380a26,A Fall To Break,The Things You Couldn't Do,124950.0,2011-07-25,english
5714dec325ac0d8aee380a28,A Fall To Break,Can't Let Go,96080.0,2011-07-25,english
5714dec325ac0d8aee380a29,A Fall To Break,Fall Down,112791.0,2011-07-25,english
5714dec325ac0d8aee380a2c,A Fall To Break,"Lost, Left, All Alone",96080.0,2011-07-25,english
5714dec325ac0d8aee380a2d,A Fall To Break,Face This Fight,96080.0,2011-07-25,english
5714dec325ac0d8aee380a2e,A Fall To Break,September Falls,166927.0,2011-07-25,english
5714dec325ac0d8aee380a35,A Fall Farewell,Steve Sanders Vs. Andy Dick,104821.0,1998-01-01,english
5714dec325ac0d8aee380a4b,A Few Good Men,Tonite,301219.0,1995-05-23,english
5714dec325ac0d8aee380a50,A Few Good Men,Have I Never,295889.0,1995-05-23,english
5714dec325ac0d8aee380a52,A Few Good Men,Young Girl,272803.0,1995-05-23,english
5714dec325ac0d8aee380a53,A Few Good Men,Don't Cry (Behind My Back),285800.0,1995-05-23,english
5714dec325ac0d8aee380cc1,A House,I Want To Kill Something,170271.0,2015-09-18,english
5714dec325ac0d8aee380cc3,A House,My Little Lighthouse,217714.0,2001-09-25,english
5714dec325ac0d8aee380cc8,A House,Violent Love,149734.0,2015-09-18,english
5714dec325ac0d8aee380cd8,A House,Manstrong,114350.0,2015-09-18,english
5714dec325ac0d8aee380cde,A House,Endless Art,312435.0,1992-04-14,english
5714dec325ac0d8aee380cdf,A House,Blind Faith,178696.0,1992-04-14,english
5714dec325ac0d8aee380ce2,A House,When I First Saw You,161527.0,1992-04-14,english
5714dec325ac0d8aee380ce3,A House,I Am Afraid,257427.0,1992-04-14,english
5714dec325ac0d8aee380ce5,A House,Take It Easy On Me,230443.0,1992-04-14,english
5714dec325ac0d8aee380ce8,A House,I Wanted Too Much,150160.0,1992-04-14,english
5714dec325ac0d8aee380ce9,A House,I Lied,225122.0,1992-04-14,english
5714dec325ac0d8aee380ceb,A House,I Am The Greatest,207348.0,1992-04-14,english
5714dec325ac0d8aee380cee,A Human And His Stds,Keggar,71150.0,0000-00-00,english
5714dec325ac0d8aee380cef,A Human And His Stds,Heart Break Remedy,113105.0,0000-00-00,english
5714dec325ac0d8aee380cf0,A Human And His Stds,Superman Is Dead,149911.0,0000-00-00,english
5714dec325ac0d8aee380cf3,A Human And His Stds,White Power Boy,68800.0,2013-04-10,english
5714dec325ac0d8aee380cf6,A Human And His Stds,One Tragic Christmas,114478.0,0000-00-00,english
5714dec325ac0d8aee380d09,A Jealousy Issue,Burning Butterflies,156108.0,2006-12-30,english
5714dec325ac0d8aee380d0a,A Jealousy Issue,Dollface,134449.0,2006-12-30,english
5714dec325ac0d8aee380d0b,A Jealousy Issue,Paperweight,171280.0,2006-12-30,english
